,X,Y,phi
0,0.0,0.0,0.40846879856859086
1,-1.7086270193463142,3.947735204961905,1.464324911022159
2,-8.504185826661923,4.674014454957569,-4.660827300978524
3,-15.340273974691502,4.321221568195118,-4.561813515859697
4,-22.109681208888375,3.2941408473241633,-4.481482153105086
5,-28.775382242517974,1.7270338135402743,-4.409665753757851
6,-35.31166468022548,-0.31439479333597886,-4.34140061139661
7,-41.69357528906665,-2.7969622013643134,-4.273956926315939
8,-47.89365178670261,-5.7039702571891455,-4.206088585793415
9,-53.8822559625537,-9.024720610200628,-4.135441284223205
10,-59.62142537516072,-12.759856141186594,-4.061260651472365
11,-65.06781014133357,-16.909926884506287,-3.982049830073702
12,-70.16851980502405,-21.477757670964888,-3.8963591065782306
13,-74.85933100054713,-26.465120652654758,-3.8031091925531575
14,-79.0651268551977,-31.86729370369747,-3.7004557490931163
15,-82.69491553704843,-37.67154845274922,-3.588978419423016
16,-85.65617170688064,-43.8429551104246,-3.468324192881867
17,-87.85291380907414,-50.32537212251369,-3.340428970625069
18,-89.20482856511974,-57.03466577188144,-3.208263159087555
19,-89.66078446874828,-63.8634745821739,-3.07704656023133
20,-89.21932596634734,-70.69340403645738,-2.951212476221356
21,-87.92406852118098,-77.41453865578102,-2.8341779775147753
22,-85.85264109444553,-83.93914585143774,-2.7292971952645013
23,-83.10926343962952,-90.21168733320847,-2.636741446673299
24,-79.79756532960735,-96.20442780234336,-2.5566380137326767
25,-76.01664803684939,-101.91342920007337,-2.487757943752526
26,-71.85150568239187,-107.34901498871731,-2.429480881502545
27,-67.3766354798382,-112.53301926212475,-2.380462956168995
28,-62.65295485818264,-117.4917226315973,-2.3397549502056916
29,-57.73124559185283,-122.25421375477573,-2.306743587061829
30,-52.654927200785224,-126.85176045520949,-2.281036337632394
31,-47.4620288885213,-131.31737300094719,-2.262258491959664
32,-42.18613723083236,-135.68474155075776,-2.2507024954249006
33,-36.86009219664212,-139.99088196159155,-2.2467622159676104
34,-31.517107013246957,-144.27601423484523,-2.2514342406737526
35,-26.194220478557668,-148.58604588071336,-2.2663698307469167
36,-20.93637483185778,-152.9750302546177,-2.2941878862754588
37,-15.802819447937267,-157.50840286786485,-2.3389890708763317
38,-10.877812873566782,-162.2667862162616,-2.4071007920203344
39,-6.288788648989573,-167.34853966975862,-2.507368284589532
40,-2.2327754834370697,-172.86238754778887,-2.649582220623267
41,0.9990151169894838,-178.8921476563831,-2.8371180458311214
42,3.048649815513996,-185.41453978430863,-3.0513368942058148
43,3.664773744583265,-192.22241577120343,-3.2538082119660015
44,2.898907744964674,-199.01869811563537,-3.414466647839983
45,1.054504820471394,-205.60927061891095,-3.5270933101584854
46,-1.5200241502561467,-211.95352195281907,-3.5982804261421513
47,-4.539955937392741,-218.0999619129769,-3.6352311616663653
48,-7.785211504949352,-224.13124029865736,-3.6414025981184737
49,-11.067677684926549,-230.14246946053214,-3.6155492459653615
50,-14.19341672913038,-236.23608088685344,-3.550787219063017
51,-16.917574492346933,-242.51766116673159,-3.4329407612210963
52,-18.883054463817093,-249.0718492068953,-3.240894721376218
53,-19.560489016749678,-255.87136907432398,-2.962676733703424
54,-18.346690542517166,-262.5830085669263,-2.634211847116815
55,-15.033833877581552,-268.54218721801794,-2.330994757635381
56,-10.085722167738785,-273.2469963996359,-2.092001278136453
57,-4.156651025488039,-276.6512490964257,-1.9106465532780184
58,2.2939537850962166,-278.9319789397928,-1.7699019972888694
59,9.003297335381237,-280.2857844127362,-1.6563490296266201
60,15.824275375820177,-280.8707654272938,-1.561698670312649
61,22.67088316624427,-280.8084756230176,-1.4801711704029425
62,29.490208864129755,-280.188775720514,-1.4087466255108332
63,36.248250490634426,-279.0839491665098,-1.3447444699144269
64,42.92203243050809,-277.5490954811383,-1.286486399259884
65,49.49529782281541,-275.6282134730084,-1.2327342690346526
66,55.95597966490046,-273.356909522052,-1.1827634539111942
67,62.295230629191764,-270.76569463533593,-1.1354918914608114
68,68.50502219234471,-267.8777883770151,-1.0905952148527613
69,74.57897829252643,-264.7140681741378,-1.0476676012760144
70,80.51160977040436,-261.2925789634069,-1.0059509340840802
71,86.29641911770271,-257.62662896904925,-0.9653949283079231
72,91.92784970026116,-253.7291396124264,-0.9256776162843111
73,97.40009246076603,-249.6111096213935,-0.8864752065259428
74,102.70675263681171,-245.2817594039953,-0.8472633207751564
75,107.83961333930816,-240.74770788289476,-0.8083500710852568
76,112.79218138856366,-236.0174189070732,-0.7692408187171311
77,117.55601604558746,-231.0971004325178,-0.7293154422225279
78,122.11964925070396,-225.9905687597398,-0.6891937594018525
79,126.47477190736022,-220.7051075188912,-0.6476232845202659
80,130.6064597243405,-215.24324193231337,-0.6053845331240412
81,134.50380839097085,-209.6118116709291,-0.5613316555522772
82,138.14935302464937,-203.814246684969,-0.5159060061373664
