,X,Y
0,0.0,0.0
1,-0.17387554904168337,-0.6504110582515858
2,-0.34706481015011276,-1.301005194503083
3,-0.5195644839114054,-1.951782507835695
4,-0.6913712558804882,-2.6027430907547675
5,-0.8624817965220899,-3.2538870291092272
6,-1.0328927611517542,-3.9052144020102504
7,-1.202600789876883,-4.556725281749168
8,-1.3716025075378118,-5.208419733714586
9,-1.539894523648928,-5.860297816308728
10,-1.7074734323398306,-6.51235958086299
11,-1.87433581229654,-7.164605071552691
12,-2.040478226702769,-7.817034325311035
13,-2.2058972231812493,-8.469647371742262
14,-2.3705893337351354,-9.12244423303399
15,-2.5345510746894693,-9.775424923868716
16,-2.69777894663274,-10.428589451334537
17,-2.8602678895513938,-11.081938198106892
18,-3.022008207513243,-11.735472672797279
19,-3.1830035188186305,-12.389191071174734
20,-3.343250257130055,-13.043093367906264
21,-3.502744840066814,-13.69717952958592
22,-3.661483669147176,-14.351449514640198
23,-3.819463129730686,-15.005903273232581
24,-3.9766783358420668,-15.660541047812702
25,-4.1331150423806715,-16.315365293404955
26,-4.288780869939274,-16.970373216510033
27,-4.4436721351563095,-17.625564731990114
28,-4.597785138209398,-18.280939745932844
29,-4.751116162758585,-18.936498155550318
30,-4.90364983770436,-19.592242549599273
31,-5.055389140388699,-20.248171212733872
32,-5.206334624995473,-20.904283005050765
33,-5.356482504939893,-21.560577785821668
34,-5.5058246364486525,-22.217056389553107
35,-5.654346969032552,-22.873720949448078
36,-5.8020596301143135,-23.530568109145605
37,-5.948958761843015,-24.187597688101143
38,-6.09503408482019,-24.844810915352916
39,-6.240273180570313,-25.502209446639803
40,-6.384686449536535,-26.159789880247036
41,-6.528269961597297,-26.81755199386483
42,-6.671001676229333,-27.475499469569527
43,-6.812889990751406,-28.133629338287257
44,-6.953936017077795,-28.791940235424217
45,-7.094121807070244,-29.450434855115414
46,-7.233445500141906,-30.10911241302553
47,-7.371914193205764,-30.76797024115921
48,-7.509508412691894,-31.427011247462858
49,-7.646227235826207,-32.0862344098497
50,-7.782078164768712,-32.745636973704585
51,-7.917034462181338,-33.40522321771495
52,-8.051107579361137,-34.064989548276166
53,-8.184295030386261,-34.72493524091572
54,-8.316571034326032,-35.38506422260381
55,-8.447957016073191,-36.04537092028505
56,-8.57842706495222,-36.70585920667139
57,-8.707987298210325,-37.36652656197554
58,-8.836633774503204,-38.02737245358954
59,-8.964348476450999,-38.68839905153569
60,-9.091148831152971,-39.3496016527353
61,-9.216998020452143,-40.010985951598144
62,-9.341925166866382,-40.67254503107185
63,-9.465892960478365,-41.334284550818126
64,-9.588924963580018,-41.996198692738474
65,-9.71098988446753,-42.65829185666482
66,-9.8321062707137,-43.3205591926753
67,-9.952244935155315,-43.98300458806742
68,-10.071425028179055,-44.64562311159221
69,-10.189613807262461,-45.308419167913684
70,-10.30683672668314,-45.97138673068975
71,-10.423051744748836,-46.63453171539951
72,-10.538288308667196,-47.29784742451515
73,-10.652513538138402,-47.961338038227474
